publisher,feed_name,domain,url,is_active
연합뉴스,정치,politics,https://www.yna.co.kr/rss/politics.xml,true
연합뉴스,경제,economy,https://www.yna.co.kr/rss/economy.xml,true
연합뉴스,지역·사회,society,https://www.yna.co.kr/rss/society.xml,true
연합뉴스,국제,global,https://www.yna.co.kr/rss/international.xml,true
연합뉴스,문화,culture_life,https://www.yna.co.kr/rss/culture.xml,true
연합뉴스,연예,culture_life,https://www.yna.co.kr/rss/entertainment.xml,true
연합뉴스,스포츠,sports,https://www.yna.co.kr/rss/sports.xml,true
연합뉴스,산업,industry,https://www.yna.co.kr/rss/industry.xml,true
경향신문,정치,politics,https://www.khan.co.kr/rss/rssdata/politic_news.xml,true
경향신문,경제,economy,https://www.khan.co.kr/rss/rssdata/economy_news.xml,true
경향신문,사회,society,https://www.khan.co.kr/rss/rssdata/society_news.xml,true
경향신문,국제,global,https://www.khan.co.kr/rss/rssdata/kh_world.xml,true
경향신문,문화,culture_life,https://www.khan.co.kr/rss/rssdata/culture_news.xml,true
경향신문,연예,culture_life,https://www.khan.co.kr/rss/rssdata/kh_entertainment.xml,true
경향신문,스포츠,sports,https://www.khan.co.kr/rss/rssdata/kh_sports.xml,true
경향신문,IT,industry,https://www.khan.co.kr/rss/rssdata/it_news.xml,true
동아일보,정치,politics,https://rss.donga.com/politics.xml,true
동아일보,경제,economy,https://rss.donga.com/economy.xml,true
동아일보,사회,society,https://rss.donga.com/national.xml,true
동아일보,국제,global,https://rss.donga.com/international.xml,true
동아일보,문화,culture_life,https://rss.donga.com/culture.xml,true
동아일보,스포츠,sports,https://rss.donga.com/sports.xml,true
매일경제,정치,politics,https://www.mk.co.kr/rss/30200030/,true
매일경제,경제,economy,https://www.mk.co.kr/rss/30100041/,true
매일경제,사회,society,https://www.mk.co.kr/rss/50400012/,true
매일경제,국제,global,https://www.mk.co.kr/rss/30300018/,true
매일경제,문화,culture_life,https://www.mk.co.kr/rss/30000023/,true
매일경제,스포츠,sports,https://www.mk.co.kr/rss/71000001/,true
매일경제,기업·산업,industry,https://www.mk.co.kr/rss/50100032/,true
한국경제,정치,politics,https://www.hankyung.com/feed/politics,true
한국경제,경제,economy,https://www.hankyung.com/feed/economy,true
한국경제,사회,society,https://www.hankyung.com/feed/society,true
한국경제,국제,global,https://www.hankyung.com/feed/international,true
한국경제,스포츠,sports,https://www.hankyung.com/feed/sports,true
SBS,정치,politics,https://news.sbs.co.kr/news/SectionRssFeed.do?sectionId=01,true
SBS,경제,economy,https://news.sbs.co.kr/news/SectionRssFeed.do?sectionId=02,true
SBS,사회,society,https://news.sbs.co.kr/news/SectionRssFeed.do?sectionId=03,true
SBS,국제,global,https://news.sbs.co.kr/news/SectionRssFeed.do?sectionId=08,true
SBS,문화,culture_life,https://news.sbs.co.kr/news/SectionRssFeed.do?sectionId=07,true
오마이뉴스,정치,politics,http://rss.ohmynews.com/rss/politics.xml,true
오마이뉴스,경제,economy,http://rss.ohmynews.com/rss/economy.xml,true
오마이뉴스,사회,society,http://rss.ohmynews.com/rss/society.xml,true
